variant,window_set,window,basis,start,end,n_days,cum_return,ann_return,ann_vol,sharpe,max_drawdown,worst_day,hit_rate,cost_drag,share_pnl
add0 baseline,ERAS,pre-crisis 2007-08,gross,2007-05-01,2008-08-31,349,0.2825215845731275,0.18598017750115103,0.1119195767099718,1.6617305297990874,-0.08112899508463634,-0.02687704822851556,0.5587392550143266,0.02483912437702211,0.18464663828650746
add0 baseline,ERAS,pre-crisis 2007-08,net,2007-05-01,2008-08-31,349,0.23915756663161925,0.16114105312412896,0.1120383418553779,1.438267029443672,-0.0841491173492076,-0.02687704822851556,0.5501432664756447,0.02483912437702211,0.21566274971873672
add0 baseline,ERAS,GFC 2008-09,gross,2008-09-01,2009-06-30,217,-0.0416871277072437,-0.039425015040923994,0.1414777290563479,-0.2786658741548061,-0.17405470813793145,-0.04025119301876695,0.5345622119815668,0.021353211799687837,-0.024337777809318336
add0 baseline,ERAS,GFC 2008-09,net,2008-09-01,2009-06-30,217,-0.059131140355623946,-0.06077822684061183,0.14130503525965155,-0.43012074360216757,-0.17818964765856915,-0.04025119301876695,0.5161290322580645,0.021353211799687837,-0.05057679128587171
add0 baseline,ERAS,recovery 2009-11,gross,2009-07-01,2011-06-30,522,0.09996512222730414,0.051120725276759295,0.10124580613119044,0.5049169662446957,-0.09033227432717506,-0.029575300881677525,0.5114942528735632,0.016237163736486305,0.07591311807910987
add0 baseline,ERAS,recovery 2009-11,net,2009-07-01,2011-06-30,522,0.06363205087699764,0.03488356154027301,0.10104865772009436,0.3452154865520408,-0.09252808216947961,-0.029575300881677525,0.5076628352490421,0.016237163736486305,0.06982884131087047
add0 baseline,ERAS,euro crisis 2011-12,gross,2011-07-01,2012-12-31,392,-0.021158972285930555,-0.006699380894083592,0.11863170385158221,-0.05647209537228814,-0.17618655495335545,-0.04905954467828443,0.5153061224489796,0.019868832510356604,-0.007470850705952674
add0 baseline,ERAS,euro crisis 2011-12,net,2011-07-01,2012-12-31,392,-0.05095087403014087,-0.026568213404440207,0.11861618390106639,-0.22398472561383212,-0.18963546719139324,-0.04905954467828443,0.5153061224489796,0.019868832510356604,-0.03993851673032586
add0 baseline,ERAS,taper + EM 2013-16,gross,2013-01-01,2016-12-31,1044,0.17938430966888097,0.04619582173181822,0.11270635589724481,0.4098776982367816,-0.2203846709839774,-0.045891810270633826,0.5306513409961686,0.013066680803567512,0.13719949593451222
add0 baseline,ERAS,taper + EM 2013-16,net,2013-01-01,2016-12-31,1044,0.11708330556171442,0.033129140928250735,0.11301460073489875,0.2931403616242702,-0.22971650803497312,-0.045891810270633826,0.5268199233716475,0.013066680803567512,0.13263379210712206
add0 baseline,ERAS,calm 2017-19,gross,2017-01-01,2019-12-31,782,0.09527759100010003,0.03471043492142198,0.10370247887775574,0.3347117185341207,-0.14937841259047901,-0.03637328601818787,0.5268542199488491,0.010786615971443137,0.07721756971288242
add0 baseline,ERAS,calm 2017-19,net,2017-01-01,2019-12-31,782,0.05919007406118704,0.023923818949978838,0.10380676591546606,0.23046492913054384,-0.1620708607600838,-0.03637328601818787,0.5230179028132992,0.010786615971443137,0.0717432049492368
add0 baseline,ERAS,covid 2020,gross,2020-01-01,2020-12-31,262,-0.14563726947478084,-0.1429728800341817,0.12948079783481092,-1.1042014138388592,-0.2615754912076297,-0.03810552036060185,0.4961832061068702,0.0197991438305985,-0.10656246974156205
add0 baseline,ERAS,covid 2020,net,2020-01-01,2020-12-31,262,-0.1630717778480565,-0.1627720238647802,0.12962465219651081,-1.2557181146223484,-0.26887943686770055,-0.03810552036060185,0.49236641221374045,0.0197991438305985,-0.16354021650707296
add0 baseline,ERAS,tightening 2021-23,gross,2021-01-01,2023-12-31,781,0.32027350964941625,0.09571486305099285,0.10983684487291134,0.8714276449013209,-0.17642395829698287,-0.03526709096040925,0.5761843790012804,0.01837292512637445,0.21265702626999192
add0 baseline,ERAS,tightening 2021-23,net,2021-01-01,2023-12-31,781,0.24723285708188603,0.07734193792461841,0.10980034269242488,0.7043870358517035,-0.1817288196868836,-0.03526709096040925,0.5710627400768246,0.01837292512637445,0.23163788842300884
add0 baseline,ERAS,recent 2024-26,gross,2024-01-01,2026-06-30,652,0.8472676917457247,0.24301133683781267,0.1067510245118946,2.2764309565079204,-0.10567861723277083,-0.04177697196876925,0.6058282208588958,0.030016780830614195,0.45073724997382886
add0 baseline,ERAS,recent 2024-26,net,2024-01-01,2026-06-30,652,0.7092875638921083,0.21299455600719852,0.106878285998752,1.9928702450344837,-0.11073268244175971,-0.04177697196876925,0.593558282208589,0.030016780830614195,0.5325490480142958
add0 baseline,STRESS,gfc_2008,gross,2008-09-01,2009-06-30,217,-0.0416871277072437,-0.039425015040923994,0.1414777290563479,-0.2786658741548061,-0.17405470813793145,-0.04025119301876695,0.5345622119815668,0.021353211799687837,-0.024337777809318336
add0 baseline,STRESS,gfc_2008,net,2008-09-01,2009-06-30,217,-0.059131140355623946,-0.06077822684061183,0.14130503525965155,-0.43012074360216757,-0.17818964765856915,-0.04025119301876695,0.5161290322580645,0.021353211799687837,-0.05057679128587171
